,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter
318,Dan-Axel Zagadou,,23,1.96,France,Créteil,3.5,35,Defender - Centre-Back,23,left,VfB Stuttgart,30/06/2026,19/09/2022,,
319,Antonis Aidonis,,21,1.86,Germany,Neustadt an der Weinstraße,0.35,0.5,Defender - Centre-Back,37,right,VfB Stuttgart,30/06/2023,24/07/2020,MK Sport Consulting,Nike
320,Borna Sosa,,25,1.87,Croatia,Zagreb,15,23,Defender - Left-Back,24,left,VfB Stuttgart,30/06/2025,01/07/2018,CAA Stellar,
321,Josha Vagnoman,Josha Mamadou Karaboue Vagnoman,22,1.9,Germany,Hamburg,5,5,Defender - Right-Back,4,right,VfB Stuttgart,30/06/2026,09/07/2022,FTC,adidas
322,Pascal Stenzel,,27,1.83,Germany,Bünde,1.5,6.5,Defender - Right-Back,15,right,VfB Stuttgart,30/06/2024,01/07/2020,Unique Sports Group,
323,Wataru Endo,遠藤 航,30,1.78,Japan,"Yokohama, Kanagawa",6.5,10,midfield - Defensive Midfield,3,right,VfB Stuttgart,30/06/2024,01/07/2020,Universal Sports ...,Puma
324,Atakan Karazor,,26,1.91,Germany,Essen,4.5,4.5,midfield - Defensive Midfield,16,right,VfB Stuttgart,30/06/2026,01/07/2019,EMG Mundial,adidas
325,Enzo Millot,,20,1.74,France,Lucé,2.5,2.5,midfield - Central Midfield,8,left,VfB Stuttgart,30/06/2025,14/08/2021,Klan Soccer FZCO,
326,Nikolas Nartey,Nikolas Terkelsen Nartey,23,1.85,Denmark,"Bagsværd, Copenhagen",1.8,1.8,midfield - Central Midfield,28,left,VfB Stuttgart,30/06/2025,29/08/2019,Boutique Transfers,
327,Genki Haraguchi,原口 元気,32,1.78,Japan,"Kumagaya, Saitama",2,4.5,midfield - Attacking Midfield,17,right,VfB Stuttgart,30/06/2024,30/01/2023,PRO Profil GmbH,Nike
328,Lilian Egloff,,20,1.82,Germany,Heilbronn,1.5,1.5,midfield - Attacking Midfield,25,right,VfB Stuttgart,30/06/2024,01/07/2020,VIDA 11,
329,Ömer Beyaz,Ömer Faruk Beyaz,19,1.71,Turkey,Istanbul,0.7,1,midfield - Attacking Midfield,30,left,VfB Stuttgart,30/06/2025,01/07/2021,M-Soccermanagement,Nike
330,Laurin Ulrich,,18,1.8,Germany,Heidenheim an der Brenz,0.5,0.5,midfield - Attacking Midfield,36,right,VfB Stuttgart,30/06/2026,01/07/2022,Rummenigge Sport ...,Nike
331,Silas,,24,1.89,DR Congo,Kinshasa,10,25,Attack - Right Winger,14,right,VfB Stuttgart,30/06/2026,13/08/2019,M-Soccermanagement,
332,Chris Führich,,25,1.81,Germany,Castrop-Rauxel,4,4,Attack - Right Winger,22,right,VfB Stuttgart,30/06/2025,19/07/2021,KL Sportsbase,
333,Tanguy Coulibaly,,22,1.78,France,Sèvres,2,5,Attack - Right Winger,7,left,VfB Stuttgart,30/06/2023,02/07/2019,,
334,Gil Dias,Gil Bastião Dias,26,1.86,Portugal,Gafanha da Nazaré,2,4,Attack - Right Winger,31,left,VfB Stuttgart,30/06/2025,30/01/2023,Ulisses Santos - ...,Nike
335,Serhou Guirassy,Serhou Yadaly Guirassy,27,1.87,Guinea,Arles,10,15,Attack - Centre-Forward,9,right,VfB Stuttgart,30/06/2023,01/09/2022,Relatives,
336,Tiago Tomás,Tiago Barreiros de Melo Tomás,20,1.8,Portugal,Cascais,7,7,Attack - Centre-Forward,10,right,VfB Stuttgart,30/06/2023,30/01/2022,Proeleven S.A.,
337,Juan José Perea,Juan José Perea Mendoza,23,1.8,Colombia,Bogotá,2.4,2.4,Attack - Centre-Forward,11,right,VfB Stuttgart,30/06/2026,08/07/2022,Konstantinos Farras,adidas
338,Luca Pfeiffer,,26,1.96,Germany,Bad Mergentheim,2,2.8,Attack - Centre-Forward,20,right,VfB Stuttgart,30/06/2026,02/08/2022,Haspel ...,
339,Thomas Kastanaras,Θωμάς Καστανάρας,20,1.86,Germany,Stuttgart,0.7,0.7,Attack - Centre-Forward,39,right,VfB Stuttgart,30/06/2025,01/07/2022,Unique Sports Group,Puma
340,Alou Kuol,,21,1.81,Australia,Khartum,0.3,0.4,Attack - Centre-Forward,27,right,VfB Stuttgart,30/06/2025,01/07/2022,,
341,Robin Zentner,,28,1.95,Germany,Rüdesheim am Rhein,5,5,Goalkeeper,27,right,1.FSV Mainz 05,30/06/2025,01/07/2014,W&K Fairplay,adidas
342,Finn Dahmen,Finn Gilbert Dahmen,25,1.88,Germany,Wiesbaden,1,2,Goalkeeper,1,right,1.FSV Mainz 05,30/06/2023,01/07/2018,CN Sports,
343,Lasse Rieß,Lasse Finn Rieß,21,1.91,Germany,Nieder-Olm,0.2,0.2,Goalkeeper,32,right,1.FSV Mainz 05,30/06/2025,01/07/2021,ROOF Talents,
344,Maxim Leitsch,,24,1.89,Germany,Essen,3.5,5,Defender - Centre-Back,5,left,1.FSV Mainz 05,30/06/2026,01/07/2022,Sports360 GmbH,adidas
345,Andreas Hanche-Olsen,Andreas Schjølberg Hanche-Olsen,26,1.85,Norway,Bodø,3.5,4,Defender - Centre-Back,25,right,1.FSV Mainz 05,30/06/2026,13/01/2023,Nordic Sky,
346,Stefan Bell,,31,1.92,Germany,Andernach,2.5,6,Defender - Centre-Back,16,right,1.FSV Mainz 05,30/06/2024,01/07/2010,Haspel ...,adidas
347,Alexander Hack,,29,1.93,Germany,Memmingen,2.5,3,Defender - Centre-Back,42,left,1.FSV Mainz 05,30/06/2024,30/11/2015,PRO Profil GmbH,
348,Philipp Schulz,,17,1.88,Germany,,0.3,0.3,Defender - Centre-Back,45,right,1.FSV Mainz 05,30/06/2025,01/07/2022,Agent is known - Player under 18,
349,Anthony Caci,,25,1.84,France,Forbach,8.5,8.5,Defender - Left-Back,19,right,1.FSV Mainz 05,30/06/2026,01/07/2022,W.Egal O.S.F.M.,
350,Aarón Martín,Aarón Martín Caricol,26,1.8,Spain,Montmeló,7,20,Defender - Left-Back,3,left,1.FSV Mainz 05,30/06/2023,01/07/2019,BY AND FOR,
351,Silvan Widmer,,30,1.83,Switzerland,Aarau,5,9,Defender - Right-Back,30,right,1.FSV Mainz 05,30/06/2026,09/07/2021,CAA Base Ltd,
352,Danny da Costa,Danny Vieira da Costa,29,1.87,Germany,Neuss,2,15,Defender - Right-Back,21,right,1.FSV Mainz 05,30/06/2025,01/07/2022,Sports360 GmbH,Nike
353,Anton Stach,,24,1.94,Germany,Buchholz in der Nordheide,15,15,midfield - Defensive Midfield,6,both,1.FSV Mainz 05,30/06/2024,31/07/2021,ROOF,
354,Leandro Barreiro,Leandro Barreiro Martins,23,1.74,Luxembourg,Erpeldingen,10,11,midfield - Central Midfield,8,right,1.FSV Mainz 05,30/06/2024,01/07/2018,CAA Stellar,
355,Dominik Kohr,,29,1.83,Germany,Trier,4,8.5,midfield - Central Midfield,31,right,1.FSV Mainz 05,30/06/2026,01/07/2022,Sports360 GmbH,adidas
356,Edimilson Fernandes,Edimilson Fernandes Ribeiro,27,1.9,Switzerland,Sion,3,8,midfield - Central Midfield,20,right,1.FSV Mainz 05,30/06/2026,01/07/2019,IFM,
357,Aymen Barkok,أيمن بركوك,24,1.89,Morocco,Frankfurt am Main,1.5,3.5,midfield - Central Midfield,4,right,1.FSV Mainz 05,30/06/2025,01/07/2022,Sports eXcellence ...,
358,Eniss Shabani,,19,1.8,Germany,Gießen,0.2,0.2,midfield - Central Midfield,41,right,1.FSV Mainz 05,30/06/2025,01/07/2022,ASBW Sport Marketing,
359,Jae-sung Lee,이재성,30,1.8,South Korea,Ulsan,4,4,midfield - Attacking Midfield,7,left,1.FSV Mainz 05,30/06/2024,08/07/2021,Unique Sports Group,
360,Delano Burgzorg,,24,1.86,Netherlands,Amsterdam,2,2,Attack - Left Winger,37,right,1.FSV Mainz 05,30/06/2025,01/07/2022,PURE,Puma
361,Brajan Gruda,,18,1.78,Germany,Speyer,0.5,0.5,Attack - Right Winger,43,left,1.FSV Mainz 05,30/06/2026,18/11/2022,Robert Schneider,adidas
362,Jonathan Burkardt,Jonathan Michael Burkardt,22,1.83,Germany,Darmstadt,12,17,Attack - Centre-Forward,29,right,1.FSV Mainz 05,30/06/2024,01/07/2018,PRO Profil GmbH,
363,Ludovic Ajorque,,29,1.96,France,Saint-Denis,9,16,Attack - Centre-Forward,17,left,1.FSV Mainz 05,30/06/2026,24/01/2023,Léandre Chouya,
364,Marcus Ingvartsen,Marcus Højriis Ingvartsen,27,1.87,Denmark,Farum,4.5,4.5,Attack - Centre-Forward,11,left,1.FSV Mainz 05,30/06/2025,01/07/2022,People In Sport,
365,Karim Onisiwo,,31,1.88,Austria,Wien,3.5,4.5,Attack - Centre-Forward,9,right,1.FSV Mainz 05,30/06/2024,05/01/2016,ROOF,
366,Nelson Weiper,Nelson Felix Patrick Weiper,18,1.92,Germany,Mainz,2.5,2.5,Attack - Centre-Forward,44,right,1.FSV Mainz 05,30/06/2025,01/07/2022,ASBW Sport Marketing,
367,Marlon Mustapha,Suliman-Marlon Mustapha,21,1.85,Austria,Wien,1,1,Attack - Centre-Forward,36,right,1.FSV Mainz 05,30/06/2024,01/07/2020,MD Sports,Puma
368,Marvin Schwäbe,,28,1.9,Germany,Dieburg,5,5,Goalkeeper,20,right,1.FC Köln,30/06/2024,01/07/2021,CN Sports,adidas
369,Timo Horn,,29,1.92,Germany,Köln,1.5,12,Goalkeeper,1,left,1.FC Köln,30/06/2023,01/07/2011,Sports360 GmbH,Puma
370,Julian Roloff,,22,1.92,Germany,Grevenbroich,0.1,0.1,Goalkeeper,1,right,1.FC Köln II,30/06/2024,15/01/2023,DC International ...,Stanno
371,Matthias Köbbing,,25,1.96,Germany,Koblenz,0.025,0.1,Goalkeeper,44,both,1.FC Köln,30/06/2025,08/03/2022,Haspel ...,
372,Timo Hübers,Timo Bernd Hübers,26,1.9,Germany,Hildesheim,7.5,7.5,Defender - Centre-Back,4,right,1.FC Köln,30/06/2024,01/07/2021,Timo Hübers,
373,Luca Kilian,Luca Jannis Kilian,23,1.92,Germany,Witten,4.5,4.5,Defender - Centre-Back,15,right,1.FC Köln,30/06/2025,01/07/2022,LK Management,
374,Julian Chabot,Julian Jeffrey Gaston Chabot,25,1.95,Germany,Hanau,3.5,3.5,Defender - Centre-Back,24,left,1.FC Köln,30/06/2023,26/01/2022,PRO Profil GmbH,
375,Nikola Soldo,,22,1.89,Croatia,Stuttgart,1.5,1.8,Defender - Centre-Back,5,right,1.FC Köln,30/06/2025,01/09/2022,P&P Sport ...,
376,Rijad Smajic,,19,1.9,Bosnia-Herzegovina,Köln,0.2,0.2,Defender - Centre-Back,19,right,1.FC Köln II,30/06/2025,01/01/2022,OLP Sports,
377,Elias Bakatukanda,Elias-Geoffrey Bakatukanda,19,1.93,Germany,Köln,,,Defender - Centre-Back,5,both,1.FC Köln U19,30/06/2026,01/07/2021,FM Worldsport,
378,Jonas Hector,,32,1.85,Germany,Saarbrücken,3.5,20,Defender - Left-Back,14,left,1.FC Köln,30/06/2023,01/07/2012,act SPORTS GROUP,adidas
379,Kristian Pedersen,Kristian Majdahl Pedersen,28,1.89,Denmark,Ringsted,1.5,5,Defender - Left-Back,3,left,1.FC Köln,30/06/2024,01/07/2022,Boutique Transfers,
380,Benno Schmitz,,28,1.82,Germany,München,3,3,Defender - Right-Back,2,right,1.FC Köln,30/06/2024,01/07/2018,Kögl & Partner GmbH,
381,Ellyes Skhiri,إلياس صخيري,28,1.85,Tunisia,Lunel,13,13,midfield - Defensive Midfield,28,right,1.FC Köln,30/06/2023,29/07/2019,CAA Stellar,
382,Dejan Ljubicic,,25,1.87,Austria,Wien,10,10,midfield - Defensive Midfield,7,right,1.FC Köln,30/06/2025,01/07/2021,Dirk Hebel,
383,Eric Martel,,21,1.88,Germany,Straubing,6.5,6.5,midfield - Defensive Midfield,6,right,1.FC Köln,30/06/2026,01/07/2022,NGM SPORTS,
384,Georg Strauch,,22,1.77,Germany,Bonn,0.2,0.2,midfield - Defensive Midfield,17,right,1.FC Köln II,30/06/2024,01/07/2020,Teamgeist ...,
385,Denis Huseinbasic,Denis Huseinbašić,21,1.84,Germany,Erbach (Odenwald),5,5,midfield - Central Midfield,8,right,1.FC Köln,30/06/2025,01/07/2022,ProfiSports Prskalo,Puma
386,Mathias Olesen,Mathias Flaga Olesen,22,1.88,Luxembourg,Kopenhagen,1.2,1.2,midfield - Central Midfield,47,both,1.FC Köln,30/06/2025,04/02/2022,PESM,
387,Joshua Schwirten,,21,1.82,Germany,Bergisch Gladbach,0.2,0.2,midfield - Central Midfield,10,both,1.FC Köln II,30/06/2023,01/07/2021,CS,
388,Kingsley Schindler,,29,1.83,Ghana,Hamburg,1,3,midfield - Right Midfield,17,right,1.FC Köln,30/06/2023,01/07/2019,11WINS,
389,Florian Kainz,,30,1.76,Austria,Graz,4,4.5,Attack - Left Winger,11,both,1.FC Köln,30/06/2025,18/01/2019,YOU FIRST,
390,Jan Thielmann,Jan Uwe Thielmann,20,1.78,Germany,Föhren,7.5,9,Attack - Right Winger,29,right,1.FC Köln,30/06/2024,17/01/2020,Relatives,
391,Linton Maina,,23,1.8,Germany,Berlin,4.5,9,Attack - Right Winger,37,right,1.FC Köln,30/06/2025,01/07/2022,ROOF,
392,Dimitrios Limnios,Δημήτριος Λημνιός,24,1.78,Greece,Volos,2,4.5,Attack - Right Winger,19,right,1.FC Köln,30/06/2024,21/09/2020,LIAN Sports Group,
393,Steffen Tigges,,24,1.94,Germany,Osnabrück,3.5,3.5,Attack - Centre-Forward,21,left,1.FC Köln,30/06/2026,01/07/2022,GOOD ADVICE Sports ...,adidas
394,Mark Uth,Mark-Alexander Uth,31,1.85,Germany,Köln,3,23,Attack - Centre-Forward,13,left,1.FC Köln,30/06/2025,01/07/2021,Sports360 GmbH,
395,Sargis Adamyan,Սարգիս Ադամյան,29,1.84,Armenia,Yerevan,2,5,Attack - Centre-Forward,23,right,1.FC Köln,30/06/2026,05/07/2022,Karl M. Herzog ...,
396,Tim Lemperle,,21,1.89,Germany,Frankfurt am Main,2,2,Attack - Centre-Forward,25,right,1.FC Köln,30/06/2025,01/07/2020,ROGON,Nike
397,Davie Selke,,28,1.95,Germany,Schorndorf,1.8,20,Attack - Centre-Forward,27,right,1.FC Köln,30/06/2024,02/01/2023,Sports eXcellence ...,Puma
398,Sebastian Andersson,Martin Sebastian Andersson,31,1.9,Sweden,Ängelholm,1,7,Attack - Centre-Forward,9,right,1.FC Köln,30/06/2023,15/09/2020,People In Sport,
399,Florian Dietz,,24,1.9,Germany,Bad Neustadt an der Saale,1,1,Attack - Centre-Forward,33,right,1.FC Köln,30/06/2025,01/07/2022,ROOF,
400,Maximilian Schmid,,20,1.84,Germany,Hanau,0.2,0.2,Attack - Centre-Forward,9,right,1.FC Köln II,30/06/2024,01/07/2022,ROGON U23,Nike
401,Oliver Christensen,,24,1.9,Denmark,Kerteminde,4.5,4.5,Goalkeeper,1,right,Hertha BSC,30/06/2026,26/08/2021,Boutique Transfers,
402,Tjark Ernst,,20,1.93,Germany,Stuttgart,0.4,0.4,Goalkeeper,12,both,Hertha BSC,30/06/2026,01/09/2022,BMS Sportconsulting ...,
403,Rune Jarstein,Rune Almenning Jarstein,38,1.92,Norway,Porsgrunn,0.3,2.5,Goalkeeper,22,right,Hertha BSC,30/06/2023,01/01/2014,Golden Patch ...,
404,Marc Oliver Kempf,,28,1.86,Germany,Lich,4.5,8,Defender - Centre-Back,20,left,Hertha BSC,30/06/2026,25/01/2022,Sports360 GmbH,
405,Márton Dárdai,,21,1.88,Germany,Berlin,4,6,Defender - Centre-Back,31,left,Hertha BSC,30/06/2025,01/07/2020,PRO Profil GmbH,Nike
406,Agustín Rogel,Agustín Maximiliano Rogel Paita,25,1.91,Uruguay,Montevideo,3,4.5,Defender - Centre-Back,3,right,Hertha BSC,30/06/2026,31/08/2022,Ariel Krasouski,
407,Filip Uremovic,Filip Uremović,26,1.84,Croatia,Požega,2,7,Defender - Centre-Back,5,right,Hertha BSC,30/06/2026,01/07/2022,Ivan Bosnjak,adidas
408,Maximilian Mittelstädt,,26,1.8,Germany,Berlin,2,14,Defender - Left-Back,17,left,Hertha BSC,30/06/2027,19/08/2015,Sports360 GmbH,Nike
409,Marvin Plattenhardt,,31,1.81,Germany,Filderstadt,2,17,Defender - Left-Back,21,left,Hertha BSC,30/06/2023,01/07/2014,Briem Soccer ...,Nike
410,Lukas Ullrich,,19,1.8,Germany,Berlin,0.75,0.75,Defender - Left-Back,26,left,Hertha BSC II,30/06/2023,01/07/2022,SEG,Puma
411,Jonjoe Kenny,,26,1.76,England,Liverpool,4,12,Defender - Right-Back,16,right,Hertha BSC,30/06/2025,01/07/2022,11WINS,
412,Peter Pekarik,Peter Pekarík,36,1.77,Slovakia,Žilina,0.5,3.5,Defender - Right-Back,2,right,Hertha BSC,30/06/2023,31/08/2012,ROGON,
413,Julian Eitschberger,,19,1.79,Germany,Hohen Neuendorf,0.35,0.35,Defender - Right-Back,42,right,Hertha BSC,30/06/2026,01/07/2022,B360 Sports,
414,Lucas Tousart,,26,1.85,France,Arras,11,25,midfield - Defensive Midfield,29,right,Hertha BSC,30/06/2025,27/01/2020,Hexagon,
415,Ivan Sunjic,Ivan Šunjić,26,1.85,Croatia,Zenica,4,6,midfield - Defensive Midfield,34,right,Hertha BSC,30/06/2023,05/07/2022,Soccertalk GmbH,
416,Tolga Cigerci,Tolga Ciğerci,31,1.85,Turkey,Nordenham,1.5,4.5,midfield - Defensive Midfield,6,right,Hertha BSC,30/06/2024,31/01/2023,ROGON,
417,Suat Serdar,,26,1.84,Germany,Bingen,6.5,25,midfield - Central Midfield,8,right,Hertha BSC,30/06/2026,01/07/2021,Sports360 GmbH,
418,Jean-Paul Boëtius,Jean-Paul Patrick Boëtius,29,1.78,Netherlands,Rotterdam,2,6,midfield - Attacking Midfield,10,right,Hertha BSC,30/06/2025,08/08/2022,CAA Stellar,
419,Kevin-Prince Boateng,,36,1.86,Ghana,Berlin,0.7,23,midfield - Attacking Midfield,27,right,Hertha BSC,30/06/2023,01/07/2021,Excellence Sport,Puma
420,Chidera Ejuke,,25,1.76,Nigeria,Zaria,7.5,9,Attack - Left Winger,40,right,Hertha BSC,30/06/2023,13/07/2022,Aneke/PMG,Nike
421,Dodi Lukébakio,Dodi Lukébakio Ngandoli,25,1.87,Belgium,Brussels,12,21,Attack - Right Winger,14,left,Hertha BSC,30/06/2024,01/08/2019,BoostMySport,Nike
422,Marco Richter,,25,1.76,Germany,Friedberg,6,10,Attack - Right Winger,23,right,Hertha BSC,30/06/2025,09/08/2021,Sports360 GmbH,Nike
423,Kelian Nsona,Kelian Nsona Wa Saka,21,1.89,France,Ivry-sur-Seine,1.2,1.2,Attack - Right Winger,28,right,Hertha BSC,30/06/2026,31/01/2022,ROGON,
424,Jessic Ngankam,Jessic Gaïtan Ngankam,22,1.84,Germany,Berlin,3.5,3.5,Attack - Centre-Forward,24,right,Hertha BSC,30/06/2025,02/07/2022,Sports360 GmbH,
425,Wilfried Kanga,Wilfried Kanga Aka,25,1.89,Cote d'Ivoire,Montreuil-sous-Bois,3,4,Attack - Centre-Forward,18,right,Hertha BSC,30/06/2026,30/07/2022,Lasana KOITA,
426,Florian Niederlechner,,32,1.87,Germany,Ebersberg,2.2,10,Attack - Centre-Forward,7,right,Hertha BSC,30/06/2025,18/01/2023,Haspel ...,
427,Stevan Jovetic,Cтeвaн Joвeтић,33,1.83,Montenegro,Titograd,2,30,Attack - Centre-Forward,19,right,Hertha BSC,30/06/2023,27/07/2021,LIAN Sports Group,
428,Derry Scherhant,Derry Lionel Scherhant,20,1.85,Germany,Berlin,0.7,0.7,Attack - Centre-Forward,39,right,Hertha BSC,30/06/2025,01/07/2022,Sports eXcellence ...,
429,Ibrahim Maza,,17,1.77,Germany,Berlin,0.25,0.25,Attack - Centre-Forward,10,right,Hertha BSC U19,30/06/2026,01/07/2022,Agent is known - Player under 18,
430,Jiri Pavlenka,Jiří Pavlenka,31,1.96,Czech Republic,Hlučín,3,12,Goalkeeper,1,right,Werder Bremen,30/06/2025,01/07/2017,SPORT INVEST,
431,Michael Zetterer,,27,1.87,Germany,München,0.5,0.8,Goalkeeper,30,both,Werder Bremen,,27/01/2015,EMG Mundial,
432,Mio Backhaus,,19,1.94,Germany,Mönchengladbach,0.3,0.3,Goalkeeper,1,right,W. Bremen U19,,01/07/2021,feel soccer GmbH,
433,Dudu,,24,1.96,Germany,Duisburg,0.2,0.3,Goalkeeper,38,right,Werder Bremen,30/06/2024,01/07/2020,DC International ...,Puma
434,Louis Lord,,19,1.9,Germany,Vechta,0.15,0.15,Goalkeeper,1,right,W. Bremen II,,01/07/2021,CAA Stellar,
435,Marco Friedl,,25,1.87,Austria,Kirchbichl,6.5,7.5,Defender - Centre-Back,32,left,Werder Bremen,30/06/2026,01/07/2019,YOU FIRST,
436,Amos Pieper,,25,1.92,Germany,Lüdinghausen,6,7,Defender - Centre-Back,5,right,Werder Bremen,30/06/2026,01/07/2022,Sports360 GmbH,
437,Niklas Stark,,28,1.9,Germany,Neustadt an der Aisch,5.5,20,Defender - Centre-Back,4,right,Werder Bremen,30/06/2026,01/07/2022,Sports360 GmbH,adidas
438,Milos Veljkovic,Милош Вељковић,27,1.88,Serbia,Basel,5,12,Defender - Centre-Back,13,right,Werder Bremen,30/06/2025,01/02/2016,LIAN Sports Group,
439,Fabio Chiarodia,Fabio Cristian Chiarodia,17,1.86,Italy,Oldenburg,1,1,Defender - Centre-Back,39,left,Werder Bremen,30/06/2024,07/10/2021,,
440,Lee Buchanan,Lee David Buchanan,22,1.79,England,Mansfield,3.5,3.5,Defender - Left-Back,26,left,Werder Bremen,30/06/2026,04/07/2022,Quantum Sport,
441,Anthony Jung,,31,1.86,Germany,Villajoyosa,1.5,1.5,Defender - Left-Back,3,left,Werder Bremen,30/06/2024,01/07/2021,CAA Stellar,
442,Mitchell Weiser,Mitchell-Elijah Weiser,29,1.77,Germany,Troisdorf,5.5,14,Defender - Right-Back,8,right,Werder Bremen,30/06/2024,15/07/2022,ROOF,
443,Felix Agu,,23,1.8,Germany,Osnabrück,1,2.5,Defender - Right-Back,27,right,Werder Bremen,30/06/2024,01/07/2020,TDS SPORTS,
444,Ilia Gruev,Илия Илиев Груев,23,1.85,Bulgaria,Sofia,3,3,midfield - Defensive Midfield,28,left,Werder Bremen,30/06/2025,01/07/2019,feel soccer GmbH,
445,Christian Groß,,34,1.82,Germany,Bremen,0.5,0.5,midfield - Defensive Midfield,36,both,Werder Bremen,30/06/2024,01/08/2020,DLT Sports Group,
446,Dikeni Salifou,Dikeni-Rafid Salifou,19,1.91,Togo,München,0.2,0.2,midfield - Defensive Midfield,19,right,Werder Bremen,,01/07/2022,Karl M. Herzog ...,
447,Jens Stage,Jens Dalsgaard Stage,26,1.87,Denmark,Højbjerg,3.5,4,midfield - Central Midfield,6,right,Werder Bremen,30/06/2026,01/07/2022,CMA Group,Puma
448,Jean Manuel Mbom,,23,1.85,Germany,Göttingen,1,3,midfield - Central Midfield,34,right,Werder Bremen,,01/07/2018,ROOF,adidas
449,Romano Schmid,,23,1.68,Austria,Graz,4.5,5,midfield - Attacking Midfield,20,right,Werder Bremen,30/06/2025,03/01/2019,YOU FIRST,adidas
450,Leonardo Bittencourt,Leonardo Jesus Loureiro Bittencourt,29,1.71,Germany,Leipzig,3.5,7,midfield - Attacking Midfield,10,right,Werder Bremen,,15/07/2020,feel soccer GmbH,adidas
451,Niklas Schmidt,Niklas Uwe Schmidt,25,1.84,Germany,Kassel,2.5,2.5,midfield - Attacking Midfield,22,both,Werder Bremen,30/06/2025,01/07/2017,SEG,Nike
452,Maximilian Philipp,Maximilian Marcus Philipp,29,1.83,Germany,Berlin,2,20,Attack - Second Striker,17,right,Werder Bremen,30/06/2023,30/01/2023,Unique Sports Group,
453,Niclas Füllkrug,,30,1.89,Germany,Hannover,13,15,Attack - Centre-Forward,11,right,Werder Bremen,30/06/2025,01/07/2019,ROOF,
454,Marvin Ducksch,,29,1.88,Germany,Dortmund,6.5,6.5,Attack - Centre-Forward,7,right,Werder Bremen,30/06/2024,25/08/2021,EMG Mundial,
455,Eren Dinkci,Eren Sami Dinkçi,21,1.88,Germany,Bremen,0.7,0.7,Attack - Centre-Forward,21,right,Werder Bremen,30/06/2025,01/01/2021,EMG Mundial,
456,Alexander Schwolow,,30,1.9,Germany,Wiesbaden,0.9,9,Goalkeeper,13,right,FC Schalke 04,30/06/2023,01/07/2022,feel soccer GmbH,
457,Ralf Fährmann,Ralf Sebastian Fährmann,34,1.97,Germany,Karl-Marx-Stadt,0.4,13,Goalkeeper,1,right,FC Schalke 04,30/06/2025,01/07/2011,Siebert & Backs,adidas
458,Justin Heekeren,,22,1.96,Germany,Veen,0.25,0.25,Goalkeeper,28,both,FC Schalke 04,30/06/2025,01/07/2022,ROYAL,
459,Michael Langer,,38,1.95,Austria,Bregenz,0.05,0.75,Goalkeeper,34,right,FC Schalke 04,30/06/2023,04/08/2017,PESM,
460,Moritz Jenz,,24,1.9,Germany,Berlin,5.5,5.5,Defender - Centre-Back,25,right,FC Schalke 04,30/06/2023,26/01/2023,Sports360 GmbH,
461,Sepp van den Berg,,21,1.92,Netherlands,Zwolle,5,5,Defender - Centre-Back,5,right,FC Schalke 04,30/06/2023,30/08/2022,Key United,
462,Leo Greiml,,21,1.87,Austria,Horn,1.5,2.5,Defender - Centre-Back,3,right,FC Schalke 04,30/06/2025,01/07/2022,YOU FIRST,
463,Maya Yoshida,吉田 麻也,34,1.89,Japan,"Nagasaki, Nagasaki",1.5,7,Defender - Centre-Back,4,right,FC Schalke 04,30/06/2023,05/07/2022,CAA Base Ltd,Mizuno
464,Marcin Kaminski,Marcin Kamiński,31,1.92,Poland,Konin,1,3.5,Defender - Centre-Back,35,left,FC Schalke 04,30/06/2023,01/07/2021,Wojciech Zlobicki,
465,Henning Matriciani,,23,1.87,Germany,Lippstadt,1,1,Defender - Centre-Back,41,right,FC Schalke 04,30/06/2024,28/09/2021,TPWE GmbH,adidas
466,Timothée Kolodziejczak,Timothée Christian Kolodziejczak,31,1.83,France,Avion,0.7,7,Defender - Centre-Back,15,left,FC Schalke 04,30/06/2023,21/10/2022,,
467,Ibrahima Cissé,,22,1.96,Mali,Dreux,0.2,0.2,Defender - Centre-Back,22,right,FC Schalke 04,30/06/2026,01/07/2022,,
468,Thomas Ouwejan,,26,1.83,Netherlands,Alkmaar,2.5,3,Defender - Left-Back,2,left,FC Schalke 04,30/06/2024,01/07/2022,CAA Stellar,
469,Jere Uronen,Jere Juhani Uronen,28,1.77,Finland,Turku,1,3.5,Defender - Left-Back,18,left,FC Schalke 04,30/06/2023,07/01/2023,NGA Sport,
470,Cédric Brunner,,29,1.8,Switzerland,Zollikon,2.5,3.2,Defender - Right-Back,27,right,FC Schalke 04,30/06/2024,07/07/2022,ROOF,Nike
471,Mehmet Aydin,Mehmet Can Aydin,21,1.8,Turkey,Würselen,2,2,Defender - Right-Back,23,right,FC Schalke 04,30/06/2025,01/07/2021,KIN Partners,
472,Alex Kral,Alex Král,24,1.86,Czech Republic,Košice,5.5,10,midfield - Defensive Midfield,30,right,FC Schalke 04,30/06/2023,14/07/2022,K2K Sports ...,Nike
473,Éder Balanta,Éder Fabián Álvarez Balanta,30,1.8,Colombia,Bogotá,3,6.5,midfield - Defensive Midfield,33,left,FC Schalke 04,30/06/2023,31/01/2023,no agent,
474,Niklas Tauer,,22,1.83,Germany,Mainz,1.5,1.5,midfield - Defensive Midfield,21,right,FC Schalke 04,30/06/2024,01/01/2023,PRO Profil GmbH,adidas
